raw_option_name,concept,concept_id,needs_review
LESHIY CLASSIC: CALIBER --- BARREL LENGTH,LESHIY_CLASSIC_CALIBER_BARREL_LENGTH,LEH,yes
MAGAZINE,MAGAZINE,MAG,no
MAGAZINES,MAGAZINES,MAA,no
MAGAZINES HOLDERS,MAGAZINES_HOLDERS,MGA,yes
MAGAZINES:,MAGAZINES,MAA,no
Material,MATERIAL,MAT,yes
MATERIAL,MATERIAL,MAT,yes
MOA,MOA,MOA,no
Model,VARIANT,VAR,no
MODEL,VARIANT,VAR,no
MODELS,VARIANT,VAR,no
MOUNTS,MOUNT,MNT,no
Muzzle Energy,MUZZLE_ENERGY,MUZ,yes
Número de pieza,PART_NUMBER,PRT,yes
O-RINGS,O_RINGS,ORI,yes
OPTICS,OPTICS,OPT,yes
OPTIMIZED FOR,OPTIMIZED_FOR,OPI,yes
Option,VARIANT,VAR,no
OPTIONAL: LARGE POWER PLENUM,OPTIONAL_LARGE_POWER_PLENUM,OTI,yes
OPTIONS,VARIANT,VAR,no
PACKAGING,PACKAGING,PAC,no
PAD STYLE,PAD_STYLE,PAD,yes
PART,PART_NUMBER,PRT,yes
Part Nº,PART_NUMBER,PRT,yes
PART Nº,PART_NUMBER,PRT,yes
PELLET PUSHER?,PELLET_PUSHER,PEL,yes
PIN LOCK,PIN_LOCK,PIN,no
POINT OF CONTACT,POINT_OF_CONTACT,POI,yes
POWER,POWER,POW,no
PRESION,PRESSURE,PRS,yes
PRESSURE,PRESSURE,PRS,yes
PRESSURE:,PRESSURE,PRS,yes
PROFILE,PROFILE,PRO,no
Profile,PROFILE,PRO,no
QUANTITY,QUANTITY,QTY,no
Quantity,QUANTITY,QTY,no
QUANTITY:,QUANTITY,QTY,no
QUANTTY,QUANTITY,QTY,no
RAIL FOR BIPOD,RAIL_FOR_BIPOD,RAI,yes
Reference,PART_NUMBER,PRT,yes
REFERENCE,PART_NUMBER,PRT,yes
REGALO,GIFT,GFT,no
REGULATED?,REGULATED,REG,yes
REGULATOR,REGULATOR,REU,no
REN,REN,REN,yes
REPLACE AIRTANK FOR BOTTLE AND PLUG?,ADDON,ADD,no
RESERVOIR,RESERVOIR,RES,no
SELECT YOUR MODEL,VARIANT,VAR,no
SELECTION,VARIANT,VAR,no
SERVICE,SERVICE,SER,yes
SET FOR,SET_FOR,SET,yes
SHIPPING DATE,SHIPPING_DATE,SHI,yes
SHIPPING TIME,SHIPPING_TIME,SHP,yes
SHIRT:,SHIRT,SHR,no
SHROUD MATERIAL,MATERIAL,MAT,yes
SIDE,SIDE,SID,no
SILENCER,SILENCER,SIL,no
SILENCER:,SILENCER,SIL,no
SIZE,SIZE,SIZ,no
Size,SIZE,SIZ,no
SIZE CONVERT,SIZE_CONVERT,SIE,yes
Size for different length of barrel,SIZE_FOR_DIFFERENT_LENGTH_OF_BARREL,SZE,yes
SIZE:,SIZE,SIZ,no
SPARE O-RING?,SPARE_O_RING,SPA,yes
STOCK,STOCK,STK,no
SUPPRESSOR,SUPPRESSOR,SUP,no
SYSTEM,SYSTEM,SYS,no
System,SYSTEM,SYS,no
SYSYEM,SYSTEM,SYS,no
TALLA:,SIZE,SIZ,no
TAMAÑO,SIZE,SIZ,no
THREAD,THREAD,THR,no
Title,TITLE,TTL,no
TOOL KIT,TOOL_KIT,TOO,yes
TOTAL NUMBER OF SECTIONS/VOLUME CHAMBERS,TOTAL_NUMBER_OF_SECTIONS_VOLUME_CHAMBERS,TOT,yes
TRIGGER,TRIGGER,TRI,no
Type,VARIANT,VAR,no
TYPE,VARIANT,VAR,no
